[INFO][main][2018-03-28 17:24:14][us.codecraft.webmagic.Spider] - Spider mm.taobao.com started!
 [INFO][pool-1-thread-10][2018-03-28 17:25:22][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=62723628
 [INFO][pool-1-thread-9][2018-03-28 17:25:22][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=102850664
 [INFO][pool-1-thread-2][2018-03-28 17:25:23][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=103687063
 [INFO][pool-1-thread-8][2018-03-28 17:25:23][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=416352300
 [INFO][pool-1-thread-6][2018-03-28 17:25:25][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=52323556
 [INFO][pool-1-thread-1][2018-03-28 17:25:25][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=346653431
 [INFO][pool-1-thread-7][2018-03-28 17:25:27][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=151712875
 [INFO][pool-1-thread-5][2018-03-28 17:25:29][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=172887890
 [INFO][pool-1-thread-9][2018-03-28 17:25:30][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=295328271
 [INFO][pool-1-thread-8][2018-03-28 17:25:31][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=751338832
 [INFO][pool-1-thread-1][2018-03-28 17:25:32][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=66973861
 [INFO][pool-1-thread-4][2018-03-28 17:25:32][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=649629536
 [INFO][pool-1-thread-2][2018-03-28 17:25:33][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=198204544
 [INFO][pool-1-thread-7][2018-03-28 17:25:33][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=140651363
 [INFO][pool-1-thread-5][2018-03-28 17:25:35][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=80108702
 [INFO][pool-1-thread-10][2018-03-28 17:25:37][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=189942305
 [INFO][pool-1-thread-8][2018-03-28 17:25:39][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=539549300
 [INFO][pool-1-thread-2][2018-03-28 17:25:40][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=440678454
 [INFO][pool-1-thread-4][2018-03-28 17:25:43][us.codecraft.webmagic.downloader.HttpClientDownloader] - downloading page success https://mm.taobao.com/self/info/model_info_show.htm?user_id=73283141
